"","region","watershed","family","genus","epithet","code","Trans","Number"
"870","ValleMagdalena","TolimaS","RUBIACEAE","Randia","sp4","Randsp4","Medium",11
"871","Caribe","Cesar","RUBIACEAE","Rubiaceae","sp","Rubisp","Medium",1
"872","Caribe","Cesar","SAPINDACEAE","Sapindus","saponaria","Sapisapo","Medium",2
"873","ValleMagdalena","Huila","SAPINDACEAE","Sapindus","saponaria","Sapisapo","Medium",2
"874","ValleMagdalena","Huila","SAPINDACEAE","Sapindaceae","sp2","Sapisp2","Medium",1
"875","Caribe","Guajira","ARALIACEAE","Schefflera","morototoni","Schemoro","Medium",7
"876","ValleMagdalena","Huila","POLYGALACEAE","Securidaca","coriacea","Secucori","Medium",1
"877","Caribe","Cesar","FABACEAE","Senegalia","tamarindifolia","Senetama","Medium",13
"878","Caribe","Guajira","EUPHORBIACEAE","Senefeldera","testiculata","Senetest","Medium",2
"879","Caribe","Guajira","FABACEAE","Senna","sp1","Sennsp1","Medium",1
"880","Caribe","Cesar","FABACEAE","Senna","sp2","Sennsp2","Medium",1
"881","Caribe","Guajira","SIMAROUBACEAE","Simaba","ferruginea","Simaferr","Medium",4
"882","ValleMagdalena","Huila","SIPARUNACEAE","Siparuna","sessiliflora","Sipasess","Medium",2
"883","Caribe","Guajira","ELAEOCARPACEAE","Sloanea","tuerckheimii","Sloatuer","Medium",1
"884","Caribe","Cesar","SOLANACEAE","Solanum","sp2","Solasp2","Medium",1
"885","Caribe","Guajira","MORACEAE","Sorocea","sp","Sorosp","Medium",2
"886","Caribe","Bolivar","MORACEAE","Sorocea","sprucei","Sorospru","Medium",1
"887","Caribe","Cesar","MORACEAE","Sorocea","sprucei","Sorospru","Medium",1
"888","Caribe","Guajira","MORACEAE","Sorocea","sprucei","Sorospru","Medium",1
"889","ValleMagdalena","TolimaS","MORACEAE","Sorocea","sprucei","Sorospru","Medium",10
"890","Caribe","Bolivar","ANACARDIACEAE","Spondias","mombin","Sponmomb","Medium",15
"891","Caribe","Cesar","ANACARDIACEAE","Spondias","mombin","Sponmomb","Medium",13
"892","ValleMagdalena","Huila","ANACARDIACEAE","Spondias","mombin","Sponmomb","Medium",3
"893","ValleMagdalena","TolimaS","ANACARDIACEAE","Spondias","mombin","Sponmomb","Medium",5
"894","Caribe","Bolivar","ANACARDIACEAE","Spondias","sp","Sponsp","Medium",2
"895","ValleMagdalena","Huila","ANACARDIACEAE","Spondias","sp","Sponsp","Medium",2
"896","Caribe","Bolivar","APOCYNACEAE","Stemmadenia","grandiflora","Stemgran","Medium",5
"897","Caribe","Cesar","APOCYNACEAE","Stemmadenia","grandiflora","Stemgran","Medium",69
"898","Caribe","Guajira","APOCYNACEAE","Stemmadenia","grandiflora","Stemgran","Medium",4
"899","ValleMagdalena","Huila","APOCYNACEAE","Stemmadenia","grandiflora","Stemgran","Medium",2
"900","Caribe","Bolivar","MALVACEAE","Sterculia","apetala","Sterapet","Medium",8
"901","Caribe","Cesar","MALVACEAE","Sterculia","apetala","Sterapet","Medium",1
"902","Caribe","Cesar","MALPIGHIACEAE","Stigmaphyllon","sp","Stigsp","Medium",4
"903","Caribe","Cesar","PRIMULACEAE","Stylogyne","micrantha","Stylmicr","Medium",10
"904","Caribe","Bolivar","PRIMULACEAE","Stylogyne","turbacensis","Stylturb","Medium",3
"905","Caribe","Cesar","PRIMULACEAE","Stylogyne","turbacensis","Stylturb","Medium",1
"906","ValleMagdalena","Huila","PRIMULACEAE","Stylogyne","turbacensis","Stylturb","Medium",7
"907","Caribe","Bolivar","FABACEAE","Swartzia","simplex","Swarsimp","Medium",3
"908","Caribe","Cesar","FABACEAE","Swartzia","sp3","Swarsp3","Medium",1
"909","Caribe","Bolivar","APOCYNACEAE","Tabernaemontana","sp","Tabesp","Medium",3
"910","Caribe","Cesar","COMBRETACEAE","Terminalia","amazonia","Termamaz","Medium",3
"911","Caribe","Cesar","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","Medium",23
"912","Caribe","Guajira","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","Medium",31
"913","Caribe","Cesar","DILLENIACEAE","Tetracera","volubilis","Tetrvolu","Medium",1
"914","Caribe","Guajira","APOCYNACEAE","Thevetia","ahouai","Thevahou","Medium",5
"915","Caribe","Bolivar","MELIACEAE","Trichilia","carinata","Triccari","Medium",3
"916","Caribe","Guajira","MELIACEAE","Trichilia","martiana","Tricmart","Medium",1
"917","ValleMagdalena","TolimaS","MELIACEAE","Trichilia","martiana","Tricmart","Medium",6
"918","Caribe","Bolivar","POLYGONACEAE","Triplaris","americana","Tripamer","Medium",13
"919","Caribe","Cesar","POLYGONACEAE","Triplaris","cumingiana","Tripcumi","Medium",1
"920","Caribe","Cesar","POLYGONACEAE","Triplaris","sp2","Tripsp2","Medium",4
"921","Caribe","Guajira","MORACEAE","Trophis","racemosa","Troprace","Medium",2
"922","Caribe","Bolivar","ULMACEAE","Ulmaceae","sp","Ulmasp","Medium",1
"923","Caribe","Bolivar","URTICACEAE","Urticaceae","sp","Urtisp","Medium",21
"924","Caribe","Cesar","FABACEAE","Vachellia","farnesiana","Vachfarn","Medium",12
"925","ValleMagdalena","Huila","FABACEAE","Vachellia","sp","Vachsp","Medium",1
"926","ValleMagdalena","Huila","CARICACEAE","Vasconcellea","goudotiana","Vascgoud","Medium",1
"927","Caribe","Guajira","MYRISTICACEAE","Virola","sebifera","Virosebi","Medium",31
"928","Caribe","Cesar","LAMIACEAE","Vitex","compressa","Vitecomp","Medium",1
"929","ValleMagdalena","TolimaS","LAMIACEAE","Vitex","flavens","Viteflav","Medium",2
"930","Caribe","Cesar","ANNONACEAE","Xylopia","aromatica","Xyloarom","Medium",2
"931","ValleMagdalena","Huila","ANNONACEAE","Xylopia","aromatica","Xyloarom","Medium",27
"932","ValleMagdalena","TolimaS","ANNONACEAE","Xylopia","aromatica","Xyloarom","Medium",1
"933","Caribe","Guajira","ANNONACEAE","Xylopia","frutescens","Xylofrut","Medium",1
"934","Caribe","Bolivar","SALICACEAE","Xylosma","sp1","Xylosp1","Medium",4
"935","Caribe","Cesar","SALICACEAE","Xylosma","sp2","Xylosp2","Medium",6
"936","ValleMagdalena","Huila","RUTACEAE","Zanthoxylum","acuminatum","Zantacum","Medium",1
"937","ValleMagdalena","Huila","RUTACEAE","Zanthoxylum","lenticulare","Zantlent","Medium",3
"938","Caribe","Guajira","RUTACEAE","Zanthoxylum","rhoifolium","Zantrhoi","Medium",6
"939","ValleMagdalena","Huila","RUTACEAE","Zanthoxylum","rhoifolium","Zantrhoi","Medium",2
"940","ValleMagdalena","Huila","RUTACEAE","Zanthoxylum","schreberi","Zantschr","Medium",5
"941","Caribe","Bolivar","FABACEAE","Zygia","inaequalis","Zygiinae","Medium",7
"942","Caribe","Cesar","FABACEAE","Zygia","inaequalis","Zygiinae","Medium",18
"943","Caribe","Guajira","FABACEAE","Zygia","inaequalis","Zygiinae","Medium",6
"944","Caribe","Bolivar","FABACEAE","Zygia","sp","Zygisp","Medium",1
"945","Caribe","Cesar","FABACEAE","Zygia","sp","Zygisp","Medium",12
