"","region","watershed","family","genus","epithet","code","Trans","Number"
"139","ValleMagdalena","TolimaS","RUBIACEAE","Guettarda","rusbyi","Guetrusb","High",7
"140","Caribe","Bolivar","LECYTHIDACEAE","Gustavia","superba","Gustsupe","High",31
"141","ValleCauca","Valle del Cauca","RUBIACEAE","Hamelia","patens","Hamepate","High",20
"142","ValleMagdalena","TolimaS","BIGNONIACEAE","Handroanthus","chrysanthus","Handchry","High",5
"143","ValleMagdalena","Huila","BIGNONIACEAE","Handroanthus","ochraceus","Handochr","High",14
"144","Caribe","Guajira","BIGNONIACEAE","Handroanthus","sp","Handsp","High",2
"145","ValleMagdalena","Huila","CHRYSOBALANACEAE","Hirtella","americana","Hirtamer","High",49
"146","Caribe","Guajira","CHRYSOBALANACEAE","Hirtella","triandra","Hirttria","High",7
"147","Caribe","Bolivar","EUPHORBIACEAE","Hura","crepitans","Huracrep","High",1
"148","Caribe","Bolivar","VIOLACEAE","Hybanthus","prunifolius","Hybaprun","High",2
"149","Caribe","Guajira","VIOLACEAE","Hybanthus","prunifolius","Hybaprun","High",1
"150","Caribe","Guajira","FABACEAE","Inga","sp1","Ingasp1","High",8
"151","ValleCauca","Valle del Cauca","FABACEAE","Inga","sp10","Ingasp10","High",31
"152","ValleCauca","Valle del Cauca","FABACEAE","Inga","sp11","Ingasp11","High",20
"153","Caribe","Guajira","FABACEAE","Inga","sp2","Ingasp2","High",1
"154","Caribe","Guajira","FABACEAE","Inga","sp3","Ingasp3","High",28
"155","Caribe","Bolivar","FABACEAE","Inga","sp4","Ingasp4","High",2
"156","ValleMagdalena","Huila","FABACEAE","Inga","sp9","Ingasp9","High",2
"157","Caribe","Guajira","RUBIACEAE","Isertia","haenkeana","Iserhaen","High",9
"158","ValleMagdalena","Huila","RUBIACEAE","Ixora","finlaysoniana","Ixorfinl","High",2
"159","ValleMagdalena","TolimaS","BIGNONIACEAE","Jacaranda","caucana","Jacacauc","High",9
"160","Caribe","Guajira","LACISTEMATACEAE","Lacistema","aggregatum","Laciaggr","High",1
"161","ValleMagdalena","Huila","LACISTEMATACEAE","Lacistema","aggregatum","Laciaggr","High",1
"162","ValleCauca","Valle del Cauca","VERBENACEAE","Lantana","camara","Lantcama","High",2
"163","ValleMagdalena","Huila","LAURACEAE","Lauraceae","sp7","Laursp7","High",45
"164","ValleCauca","Valle del Cauca","LAURACEAE","Lauraceae","sp8","Laursp8","High",1
"165","Caribe","Bolivar","LECYTHIDACEAE","Lecythis","minor","Lecymino","High",1
"166","Caribe","Guajira","MALVACEAE","Luehea","speciosa","Luehspec","High",16
"167","ValleCauca","Valle del Cauca","ASTERACEAE","Lycoseris","mexicana","Lycomexi","High",3
"168","ValleMagdalena","Huila","EUPHORBIACEAE","Mabea","montana","Mabemont","High",3
"169","ValleMagdalena","Huila","FABACEAE","Machaerium","capote","Machcapo","High",172
"170","ValleMagdalena","TolimaS","FABACEAE","Machaerium","capote","Machcapo","High",10
"171","Caribe","Bolivar","FABACEAE","Machaerium","sp10","Machsp10","High",1
"172","ValleCauca","Valle del Cauca","FABACEAE","Machaerium","sp14","Machsp14","High",1
"173","Caribe","Bolivar","FABACEAE","Machaerium","sp2","Machsp2","High",2
"174","Caribe","Guajira","FABACEAE","Machaerium","sp2","Machsp2","High",2
"175","Caribe","Bolivar","FABACEAE","Machaerium","sp4","Machsp4","High",12
"176","Caribe","Guajira","FABACEAE","Machaerium","sp6","Machsp6","High",3
"177","Caribe","Bolivar","MORACEAE","Maclura","tinctoria","Macltinc","High",2
"178","ValleMagdalena","TolimaS","MORACEAE","Maclura","tinctoria","Macltinc","High",6
"179","Caribe","Guajira","MALPIGHIACEAE","Malpighiaceae","sp3","Malpsp3","High",1
"180","ValleCauca","Valle del Cauca","MALPIGHIACEAE","Malpighiaceae","sp6","Malpsp6","High",1
"181","ValleCauca","Valle del Cauca","MALPIGHIACEAE","Malpighiaceae","sp7","Malpsp7","High",91
"182","Caribe","Guajira","ANACARDIACEAE","Mangifera","indica","Mangindi","High",4
"183","ValleMagdalena","Huila","EUPHORBIACEAE","Maprounea","guianensis","Maprguia","High",1
"184","Caribe","Bolivar","SAPINDACEAE","Melicoccus","oliviformis","Melioliv","High",1
"185","Caribe","Bolivar","FABACEAE","Mimosoideae","sp2","Mimosp2","High",1
"186","ValleCauca","Valle del Cauca","RUTACEAE","Murraya","paniculata","Murrpani","High",150
"187","ValleMagdalena","Huila","MYRTACEAE","Myrcia","splendens","Myrcsple","High",13
"188","ValleCauca","Valle del Cauca","MYRTACEAE","Myrcia","splendens","Myrcsple","High",186
"189","Caribe","Guajira","URTICACEAE","Myriocarpa","longipes","Myrilong","High",1
"190","Caribe","Bolivar","FABACEAE","Myrospermum","frutescens","Myrofrut","High",1
"191","ValleCauca","Valle del Cauca","PRIMULACEAE","Myrsine","latifolia","Myrslati","High",29
"192","ValleCauca","Valle del Cauca","LAURACEAE","Nectandra","lineatifolia","Nectline","High",2
"193","Caribe","Guajira","LAURACEAE","Nectandra","turbacensis","Nectturb","High",13
"194","ValleMagdalena","TolimaS","NYCTAGINACEAE","Neea","spruceana","Neeaspru","High",1
"195","Caribe","Bolivar","NYCTAGINACEAE","Neea","virens","Neeavire","High",1
"196","Caribe","Guajira","NYCTAGINACEAE","Neea","virens","Neeavire","High",1
"197","Caribe","Bolivar","NYCTAGINACEAE","Nyctaginaceae","sp1","Nyctsp1","High",4
"198","Caribe","Bolivar","NYCTAGINACEAE","Nyctaginaceae","sp2","Nyctsp2","High",1
"199","ValleMagdalena","Huila","NYCTAGINACEAE","Nyctaginaceae","sp3","Nyctsp3","High",14
"200","Caribe","Guajira","MALVACEAE","Ochroma","pyramidale","Ochrpyra","High",2
"201","ValleCauca","Valle del Cauca","ARECACEAE","Oenocarpus","sp","Oenosp","High",1
"202","ValleCauca","Valle del Cauca","ARALIACEAE","Oreopanax","acerifolius","Oreoacer","High",3
"203","Caribe","Guajira","CHRYSOBALANACEAE","Parinari","pachyphylla","Paripach","High",5
"204","Caribe","Guajira","PERACEAE","Pera","arborea","Peraarbo","High",1
"205","ValleCauca","Valle del Cauca","MORACEAE","Perebea","angustifolia","Pereangu","High",37
"206","ValleCauca","Valle del Cauca","LAURACEAE","Persea","americana","Persamer","High",1
"207","ValleMagdalena","Huila","VERBENACEAE","Petrea","pubescens","Petrpube","High",31
"208","Caribe","Guajira","PHYLLANTHACEAE","Phyllanthus","acuminatus","Phylacum","High",1
"209","ValleCauca","Valle del Cauca","PIPERACEAE","Piper","auritum","Pipeauri","High",10
"210","Caribe","Guajira","PIPERACEAE","Piper","reticulatum","Pipereti","High",28
"211","ValleCauca","Valle del Cauca","PIPERACEAE","Piper","reticulatum","Pipereti","High",38
"212","Caribe","Guajira","PIPERACEAE","Piper","sp3","Pipesp3","High",3
"213","ValleCauca","Valle del Cauca","PIPERACEAE","Piper","sp4","Pipesp4","High",5
"214","ValleCauca","Valle del Cauca","PIPERACEAE","Piper","sp5","Pipesp5","High",29
"215","Caribe","Bolivar","FABACEAE","Piptadenia","flava","Piptflav","High",4
"216","Caribe","Bolivar","NYCTAGINACEAE","Pisonia","aculeata","Pisoacul","High",9
"217","ValleCauca","Valle del Cauca","NYCTAGINACEAE","Pisonia","aculeata","Pisoacul","High",7
"218","ValleMagdalena","TolimaS","FABACEAE","Pithecellobium","dulce","Pithdulc","High",16
"219","ValleCauca","Valle del Cauca","FABACEAE","Pithecellobium","dulce","Pithdulc","High",43
"220","Caribe","Guajira","RUBIACEAE","Pittoniotis","trichantha","Pitttric","High",12
"221","Caribe","Bolivar","FABACEAE","Platymiscium","hebestachyum","Plathebe","High",5
"222","Caribe","Guajira","FABACEAE","Platymiscium","hebestachyum","Plathebe","High",1
"223","ValleMagdalena","Huila","SAPOTACEAE","Pouteria","caimito","Poutcaim","High",14
"224","Caribe","Guajira","SAPOTACEAE","Pouteria","sp2","Poutsp2","High",2
"225","Caribe","Guajira","BURSERACEAE","Protium","tenuifolium","Prottenu","High",4
"226","ValleMagdalena","Huila","FABACEAE","Pseudosamanea","guachapele","Pseuguac","High",2
"227","Caribe","Bolivar","MALVACEAE","Pseudobombax","septenatum","Pseusept","High",1
"228","ValleMagdalena","Huila","MALVACEAE","Pseudobombax","septenatum","Pseusept","High",1
"229","ValleMagdalena","TolimaS","MALVACEAE","Pseudobombax","septenatum","Pseusept","High",1
"230","Caribe","Bolivar","FABACEAE","Pterocarpus","officinalis","Pteroffi","High",45
"231","Caribe","Bolivar","FABACEAE","Pterocarpus","rohrii","Pterrohr","High",4
"232","Caribe","Bolivar","FABACEAE","Pterocarpus","sp1","Ptersp1","High",1
"233","ValleCauca","Valle del Cauca","FABACEAE","Pterocarpus","sp4","Ptersp4","High",3
"234","Caribe","Bolivar","RUBIACEAE","Randia","armata","Randarma","High",1
"235","ValleMagdalena","TolimaS","RUBIACEAE","Randia","armata","Randarma","High",2
"236","ValleMagdalena","TolimaS","RUBIACEAE","Randia","sp3","Randsp3","High",4
"237","ValleMagdalena","TolimaS","RUBIACEAE","Randia","sp4","Randsp4","High",3
"238","Caribe","Bolivar","VIOLACEAE","Rinorea","sp","Rinosp","High",1
"239","ValleCauca","Valle del Cauca","ADOXACEAE","Sambucus","nigra","Sambnigr","High",7
"240","ValleMagdalena","TolimaS","SAPINDACEAE","Sapindus","saponaria","Sapisapo","High",1
"241","ValleCauca","Valle del Cauca","SAPINDACEAE","Sapindus","saponaria","Sapisapo","High",23
"242","Caribe","Guajira","ARALIACEAE","Schefflera","morototoni","Schemoro","High",1
"243","Caribe","Bolivar","FABACEAE","Schizolobium","parahyba","Schipara","High",1
"244","ValleMagdalena","Huila","POLYGALACEAE","Securidaca","coriacea","Secucori","High",1
"245","Caribe","Bolivar","FABACEAE","Senegalia","riparia","Seneripa","High",2
"246","Caribe","Bolivar","FABACEAE","Senegalia","tamarindifolia","Senetama","High",1
"247","ValleCauca","Valle del Cauca","FABACEAE","Senna","dariensis","Senndari","High",2
"248","Caribe","Bolivar","FABACEAE","Senna","sp1","Sennsp1","High",1
"249","Caribe","Guajira","FABACEAE","Senna","sp1","Sennsp1","High",6
"250","Caribe","Bolivar","FABACEAE","Senna","sp3","Sennsp3","High",3
"251","Caribe","Guajira","SOLANACEAE","Solanum","sp1","Solasp1","High",2
"252","Caribe","Guajira","MORACEAE","Sorocea","sp","Sorosp","High",8
"253","Caribe","Bolivar","MORACEAE","Sorocea","sprucei","Sorospru","High",3
"254","ValleMagdalena","Huila","MORACEAE","Sorocea","sprucei","Sorospru","High",11
"255","ValleCauca","Valle del Cauca","MORACEAE","Sorocea","sprucei","Sorospru","High",82
"256","Caribe","Guajira","ANACARDIACEAE","Spondias","mombin","Sponmomb","High",21
"257","ValleMagdalena","Huila","ANACARDIACEAE","Spondias","mombin","Sponmomb","High",11
"258","Caribe","Bolivar","ANACARDIACEAE","Spondias","sp","Sponsp","High",3
"259","ValleMagdalena","Huila","ANACARDIACEAE","Spondias","sp","Sponsp","High",2
"260","ValleCauca","Valle del Cauca","ASTERACEAE","Steiractinia","glandulosa","Steiglan","High",1
"261","Caribe","Bolivar","APOCYNACEAE","Stemmadenia","grandiflora","Stemgran","High",4
"262","Caribe","Guajira","APOCYNACEAE","Stemmadenia","grandiflora","Stemgran","High",4
"263","Caribe","Bolivar","MALVACEAE","Sterculia","apetala","Sterapet","High",3
"264","ValleCauca","Valle del Cauca","MALVACEAE","Sterculia","sp","Stersp","High",1
"265","Caribe","Bolivar","FABACEAE","Swartzia","sp2","Swarsp2","High",20
"266","ValleMagdalena","Huila","FABACEAE","Swartzia","sp4","Swarsp4","High",4
"267","Caribe","Bolivar","APOCYNACEAE","Tabernaemontana","sp","Tabesp","High",24
"268","ValleMagdalena","Huila","ANACARDIACEAE","Tapirira","guianensis","Tapiguia","High",7
"269","Caribe","Guajira","BURSERACEAE","Tetragastris","mucronata","Tetrmucr","High",10
"270","Caribe","Guajira","MALVACEAE","Theobroma","cacao","Theocaca","High",4
"271","Caribe","Bolivar","APOCYNACEAE","Thevetia","ahouai","Thevahou","High",2
"272","ValleCauca","Valle del Cauca","ANACARDIACEAE","Toxicodendron","striatum","Toxistri","High",2
"273","ValleCauca","Valle del Cauca","MELIACEAE","Trichilia","elegans","Triceleg","High",195
"274","ValleCauca","Valle del Cauca","ACANTHACEAE","Trichanthera","gigantea","Tricgiga","High",61
"275","ValleMagdalena","TolimaS","MELIACEAE","Trichilia","martiana","Tricmart","High",1
"276","ValleCauca","Valle del Cauca","MELIACEAE","Trichilia","pallida","Tricpall","High",28
"277","Caribe","Bolivar","TRIGONIACEAE","Trigonia","sp","Trigsp","High",1
"278","Caribe","Bolivar","POLYGONACEAE","Triplaris","americana","Tripamer","High",1
"279","Caribe","Guajira","MORACEAE","Trophis","racemosa","Troprace","High",11
"280","ValleCauca","Valle del Cauca","FABACEAE","Vachellia","cf","Vachcf","High",13
"281","ValleCauca","Valle del Cauca","FABACEAE","Vachellia","farnesiana","Vachfarn","High",7
"282","Caribe","Bolivar","VERBENACEAE","Verbenaceae","sp","Verbsp","High",1
"283","ValleCauca","Valle del Cauca","ASTERACEAE","Vernonanthura","patens","Vernpate","High",5
"284","Caribe","Guajira","MYRISTICACEAE","Virola","sebifera","Virosebi","High",1
"285","ValleMagdalena","TolimaS","LAMIACEAE","Vitex","flavens","Viteflav","High",4
"286","ValleMagdalena","Huila","ANNONACEAE","Xylopia","aromatica","Xyloarom","High",27
"287","Caribe","Guajira","SALICACEAE","Xylosma","tessmannii","Xylotess","High",3
"288","ValleCauca","Valle del Cauca","RUTACEAE","Zanthoxylum","caribacum","Zantcari","High",8
"289","ValleCauca","Valle del Cauca","RUTACEAE","Zanthoxylum","fagara","Zantfaga","High",45
"290","ValleCauca","Valle del Cauca","RUTACEAE","Zanthoxylum","gentry","Zantgent","High",22
"291","ValleMagdalena","TolimaS","RUTACEAE","Zanthoxylum","quinduense","Zantquin","High",8
"292","Caribe","Guajira","RUTACEAE","Zanthoxylum","rhoifolium","Zantrhoi","High",3
"293","ValleMagdalena","Huila","RUTACEAE","Zanthoxylum","rhoifolium","Zantrhoi","High",3
"294","ValleCauca","Valle del Cauca","RUTACEAE","Zanthoxylum","rhoifolium","Zantrhoi","High",4
"295","ValleMagdalena","TolimaS","RUTACEAE","Zanthoxylum","rigidum","Zantrigi","High",16
"296","ValleCauca","Valle del Cauca","RUTACEAE","Zanthoxylum","schreberi","Zantschr","High",2
"297","ValleCauca","Valle del Cauca","RUTACEAE","Zanthoxylum","sp3","Zantsp3","High",1
"298","ValleCauca","Valle del Cauca","RUTACEAE","Zanthoxylum","verrucosum","Zantverr","High",86
"299","Caribe","Bolivar","","","","","Low",11
"300","Caribe","Guajira","","","","","Low",1
"301","ValleMagdalena","Huila","","","","","Low",2
"302","ValleMagdalena","TolimaS","","","","","Low",1
"303","Caribe","Bolivar","EUPHORBIACEAE","Acalypha","diversifolia","Acaldive","Low",11
"304","Caribe","Guajira","BIGNONIACEAE","Adenocalymma","aspericarpum","Adenaspe","Low",5
"305","Caribe","Guajira","LAMIACEAE","Aegiphila","laeta","Aegilaet","Low",1
"306","Caribe","Bolivar","FABACEAE","Albizia","niopoides","Albiniop","Low",2
"307","ValleMagdalena","Huila","FABACEAE","Albizia","sp","Albisp","Low",4
"308","ValleMagdalena","Huila","SAPINDACEAE","Allophylus","sp","Allosp","Low",1
"309","Caribe","Bolivar","ULMACEAE","Ampelocera","macphersonii","Ampemacp","Low",89
"310","ValleMagdalena","Huila","RUTACEAE","Amyris","pinnata","Amyrpinn","Low",4
"311","Caribe","Bolivar","ANACARDIACEAE","Anacardium","excelsum","Anacexce","Low",5
"312","Caribe","Guajira","ANACARDIACEAE","Anacardium","excelsum","Anacexce","Low",3
"313","ValleMagdalena","TolimaS","ANACARDIACEAE","Anacardium","excelsum","Anacexce","Low",2
"314","ValleMagdalena","TolimaS","ANNONACEAE","Annona","rensoniana","Annorens","Low",51
"315","ValleMagdalena","Huila","ANNONACEAE","Annona","rufinervis","Annorufi","Low",1
"316","ValleMagdalena","TolimaS","ANNONACEAE","Annona","sp","Annosp","Low",1
"317","Caribe","Guajira","PRIMULACEAE","Ardisia","bartlettii","Ardibart","Low",3
"318","Caribe","Bolivar","APOCYNACEAE","Aspidosperma","sp","Aspisp","Low",1
"319","Caribe","Bolivar","ASTERACEAE","Asteraceae","sp","Astesp","Low",5
"320","Caribe","Bolivar","ANACARDIACEAE","Astronium","graveolens","Astrgrav","Low",7
"321","Caribe","Guajira","ANACARDIACEAE","Astronium","graveolens","Astrgrav","Low",3
"322","ValleMagdalena","TolimaS","ANACARDIACEAE","Astronium","graveolens","Astrgrav","Low",8
"323","Caribe","Guajira","ARECACEAE","Attalea","butyracea","Attabuty","Low",2
"324","ValleMagdalena","Huila","ARECACEAE","Attalea","butyracea","Attabuty","Low",2
"325","Caribe","Bolivar","ARECACEAE","Bactris","sp","Bactsp","Low",26
"326","ValleMagdalena","Huila","SALICACEAE","Banara","ibaguensis","Banaibag","Low",8
"327","Caribe","Bolivar","MORACEAE","Brosimum","alicastrum","Brosalic","Low",9
"328","Caribe","Guajira","MORACEAE","Brosimum","alicastrum","Brosalic","Low",4
"329","Caribe","Bolivar","MORACEAE","Brosimum","sp2","Brossp2","Low",2
"330","Caribe","Bolivar","MORACEAE","Brosimum","sp3","Brossp3","Low",1
"331","ValleMagdalena","Huila","MALPIGHIACEAE","Bunchosia","pseudonitida","Buncpseu","Low",4
"332","ValleMagdalena","TolimaS","MALPIGHIACEAE","Bunchosia","sp","Buncsp","Low",4
"333","Caribe","Bolivar","MALPIGHIACEAE","Bunchosia","sp1","Buncsp1","Low",1
"334","Caribe","Bolivar","BURSERACEAE","Bursera","simaruba","Burssima","Low",2
"335","ValleMagdalena","TolimaS","BURSERACEAE","Bursera","tomentosa","Burstome","Low",2
"336","ValleMagdalena","TolimaS","MALPIGHIACEAE","Byrsonima","crassifolia","Byrscras","Low",29
"337","Caribe","Bolivar","FABACEAE","Calliandra","magdalenae","Callmagd","Low",3
"338","ValleMagdalena","TolimaS","CAPPARACEAE","Capparaceae","","Capp","Low",6
"339","Caribe","Bolivar","CAPPARACEAE","Capparidastrum","frondosum","Cappfron","Low",8
"340","Caribe","Bolivar","SALICACEAE","Casearia","corymbosa","Casecory","Low",2
"341","ValleMagdalena","Huila","SALICACEAE","Casearia","corymbosa","Casecory","Low",15
"342","ValleMagdalena","TolimaS","SALICACEAE","Casearia","corymbosa","Casecory","Low",4
"343","Caribe","Bolivar","SALICACEAE","Casearia","sp1","Casesp1","Low",11
"344","Caribe","Guajira","SALICACEAE","Casearia","sylvestris","Casesylv","Low",3
"345","ValleMagdalena","Huila","SALICACEAE","Casearia","sylvestris","Casesylv","Low",21
"346","Caribe","Bolivar","URTICACEAE","Cecropia","peltata","Cecrpelt","Low",4
"347","ValleMagdalena","TolimaS","URTICACEAE","Cecropia","peltata","Cecrpelt","Low",5
"348","Caribe","Bolivar","RUBIACEAE","Chomelia","microloba","Chommicr","Low",3
"349","ValleMagdalena","Huila","RUBIACEAE","Chomelia","spinosa","Chomspin","Low",15
"350","Caribe","Bolivar","SAPOTACEAE","Chrysophyllum","venezuelanense","Chryvene","Low",8
"351","Caribe","Guajira","MORACEAE","Clarisia","biflora","Clarbifl","Low",5
"352","ValleMagdalena","Huila","CLUSIACEAE","Clusia","sp1","Clussp1","Low",1
"353","Caribe","Guajira","POLYGONACEAE","Coccoloba","acuminata","Coccacum","Low",1
"354","Caribe","Bolivar","POLYGONACEAE","Coccoloba","obovata","Coccobov","Low",2
"355","Caribe","Bolivar","CONNARACEAE","Connarus","panamensis","Connpana","Low",1
"356","Caribe","Bolivar","CONNARACEAE","Connarus","sp","Connsp","Low",1
"357","Caribe","Bolivar","CORDIACEAE","Cordia","alliodora","Cordalli","Low",7
"358","Caribe","Bolivar","CORDIACEAE","Cordia","bicolor","Cordbico","Low",29
"359","Caribe","Guajira","CORDIACEAE","Cordia","bicolor","Cordbico","Low",3
"360","ValleMagdalena","TolimaS","CORDIACEAE","Cordia","sp5","Cordsp5","Low",4
"361","ValleMagdalena","TolimaS","CORDIACEAE","Cordia","sp6","Cordsp6","Low",1
"362","Caribe","Bolivar","RUBIACEAE","Coutarea","hexandra","Couthexa","Low",3
"363","ValleMagdalena","TolimaS","BIGNONIACEAE","Crescentia","cujete","Crescuje","Low",1
"364","ValleMagdalena","TolimaS","EUPHORBIACEAE","Croton","fragrans","Crotfrag","Low",1
"365","ValleMagdalena","TolimaS","EUPHORBIACEAE","Croton","gossypiifolius","Crotgoss","Low",1
"366","Caribe","Bolivar","ARECACEAE","Cryosophila","kalbreyeri","Cryokalb","Low",7
"367","Caribe","Bolivar","SAPINDACEAE","Cupania","americana","Cupaamer","Low",14
"368","Caribe","Guajira","SAPINDACEAE","Cupania","americana","Cupaamer","Low",1
"369","ValleMagdalena","Huila","SAPINDACEAE","Cupania","americana","Cupaamer","Low",13
"370","ValleMagdalena","TolimaS","SAPINDACEAE","Cupania","latifolia","Cupalati","Low",5
"371","ValleMagdalena","TolimaS","DILLENIACEAE","Curatella","americana","Curaamer","Low",22
"372","Caribe","Bolivar","CAPPARACEAE","Cynophalla","hastata","Cynohast","Low",2
"373","Caribe","Bolivar","ANACARDIACEAE","Cyrtocarpa","velutinifolia","Cyrtvelu","Low",2
"374","Caribe","Bolivar","ARALIACEAE","Dendropanax","arboreus","Dendarbo","Low",1
"375","Caribe","Guajira","ARALIACEAE","Dendropanax","arboreus","Dendarbo","Low",8
"376","ValleMagdalena","Huila","ARALIACEAE","Dendropanax","arboreus","Dendarbo","Low",1
"377","Caribe","Bolivar","SAPINDACEAE","Dilodendron","costaricense","Dilocost","Low",3
"378","ValleMagdalena","Huila","SAPINDACEAE","Dilodendron","costaricense","Dilocost","Low",1
"379","Caribe","Bolivar","RUBIACEAE","Dioicodendron","dioicum","Dioidioi","Low",3
"380","ValleMagdalena","TolimaS","FABACEAE","Enterolobium","schomburgkii","Entescho","Low",2
"381","ValleMagdalena","Huila","ERYTHROXYLACEAE","Erythroxylum","macrophyllum","Erytmacr","Low",5
"382","ValleMagdalena","Huila","MYRTACEAE","Eugenia","biflora","Eugebifl","Low",11
"383","ValleMagdalena","TolimaS","MYRTACEAE","Eugenia","biflora","Eugebifl","Low",2
"384","ValleMagdalena","TolimaS","MYRTACEAE","Eugenia","cf","Eugecf","Low",43
"385","ValleMagdalena","Huila","MYRTACEAE","Eugenia","flavescens","Eugeflav","Low",5
"386","ValleMagdalena","Huila","MYRTACEAE","Eugenia","florida","Eugeflor","Low",29
"387","ValleMagdalena","TolimaS","MYRTACEAE","Eugenia","florida","Eugeflor","Low",16
"388","ValleMagdalena","Huila","MYRTACEAE","Eugenia","procera","Eugeproc","Low",109
"389","ValleMagdalena","TolimaS","MYRTACEAE","Eugenia","procera","Eugeproc","Low",1
"390","Caribe","Guajira","MYRTACEAE","Eugenia","sp1","Eugesp1","Low",1
"391","Caribe","Bolivar","MYRTACEAE","Eugenia","sp2","Eugesp2","Low",9
"392","ValleMagdalena","TolimaS","MYRTACEAE","Eugenia","sp5","Eugesp5","Low",1
"393","ValleMagdalena","Huila","MYRTACEAE","Eugenia","venezuelencis","Eugevene","Low",6
"394","Caribe","Bolivar","FABACEAE","Fabaceae","sp1","Fabasp1","Low",3
"395","Caribe","Bolivar","MORACEAE","Ficus","insipida","Ficuinsi","Low",2
"396","Caribe","Guajira","MORACEAE","Ficus","insipida","Ficuinsi","Low",19
"397","ValleMagdalena","TolimaS","MORACEAE","Ficus","insipida","Ficuinsi","Low",3
"398","ValleMagdalena","TolimaS","MORACEAE","Ficus","sp1","Ficusp1","Low",6
"399","Caribe","Bolivar","MORACEAE","Ficus","sp2","Ficusp2","Low",18
"400","ValleMagdalena","TolimaS","MORACEAE","Ficus","sp2","Ficusp2","Low",5
"401","Caribe","Bolivar","MORACEAE","Ficus","sp4","Ficusp4","Low",2
"402","Caribe","Bolivar","CLUSIACEAE","Garcinia","benthamiana","Garcbent","Low",2
"403","Caribe","Guajira","EUPHORBIACEAE","Garcia","nutans","Garcnuta","Low",1
"404","ValleMagdalena","Huila","RUBIACEAE","Genipa","americana","Geniamer","Low",4
"405","ValleMagdalena","TolimaS","RUBIACEAE","Genipa","americana","Geniamer","Low",5
"406","Caribe","Guajira","MELIACEAE","Guarea","guidonia","Guarguid","Low",1
"407","Caribe","Bolivar","MALVACEAE","Guazuma","ulmifolia","Guazulmi","Low",45
"408","ValleMagdalena","Huila","MALVACEAE","Guazuma","ulmifolia","Guazulmi","Low",22
"409","ValleMagdalena","TolimaS","MALVACEAE","Guazuma","ulmifolia","Guazulmi","Low",13
"410","ValleMagdalena","TolimaS","RUBIACEAE","Guettarda","rusbyi","Guetrusb","Low",11
"411","Caribe","Bolivar","LECYTHIDACEAE","Gustavia","superba","Gustsupe","Low",8
"412","ValleMagdalena","TolimaS","BIGNONIACEAE","Handroanthus","chrysanthus","Handchry","Low",12
"413","ValleMagdalena","TolimaS","BIGNONIACEAE","Handroanthus","ochraceus","Handochr","Low",37
"414","Caribe","Bolivar","EUPHORBIACEAE","Hura","crepitans","Huracrep","Low",1
"415","Caribe","Bolivar","FABACEAE","Inga","sp2","Ingasp2","Low",1
"416","Caribe","Bolivar","FABACEAE","Inga","sp4","Ingasp4","Low",1
"417","Caribe","Guajira","RUBIACEAE","Ixora","floribunda","Ixorflor","Low",3
"418","ValleMagdalena","TolimaS","BIGNONIACEAE","Jacaranda","caucana","Jacacauc","Low",3
"419","Caribe","Bolivar","ACANTHACEAE","Justicia","bracteosa","Justbrac","Low",1
"420","Caribe","Guajira","LAURACEAE","Lauraceae","sp1","Laursp1","Low",8
"421","ValleMagdalena","Huila","LAURACEAE","Lauraceae","sp7","Laursp7","Low",60
"422","Caribe","Guajira","MALVACEAE","Luehea","speciosa","Luehspec","Low",5
"423","ValleMagdalena","TolimaS","EUPHORBIACEAE","Mabea","montana","Mabemont","Low",2
"424","Caribe","Bolivar","FABACEAE","Machaerium","capote","Machcapo","Low",3
"425","ValleMagdalena","Huila","FABACEAE","Machaerium","capote","Machcapo","Low",24
"426","ValleMagdalena","TolimaS","FABACEAE","Machaerium","capote","Machcapo","Low",104
"427","Caribe","Bolivar","FABACEAE","Machaerium","sp1","Machsp1","Low",3
"428","ValleMagdalena","Huila","FABACEAE","Machaerium","sp11","Machsp11","Low",2
"429","Caribe","Bolivar","FABACEAE","Machaerium","sp2","Machsp2","Low",1
"430","ValleMagdalena","Huila","MORACEAE","Maclura","tinctoria","Macltinc","Low",12
"431","Caribe","Bolivar","MALPIGHIACEAE","Malpighiaceae","sp1","Malpsp1","Low",1
"432","ValleMagdalena","Huila","MALPIGHIACEAE","Malpighiaceae","sp3","Malpsp3","Low",2
"433","Caribe","Bolivar","SAPOTACEAE","Manilkara","zapota","Manizapo","Low",1
"434","ValleMagdalena","TolimaS","SAPINDACEAE","Matayba","sp","Matasp","Low",1
"435","Caribe","Bolivar","ACHARIACEAE","Mayna","grandifolia","Mayngran","Low",1
"436","Caribe","Bolivar","CELASTRACEAE","Maytenus","longipes","Maytlong","Low",1
"437","Caribe","Bolivar","SAPINDACEAE","Melicoccus","oliviformis","Melioliv","Low",2
"438","Caribe","Guajira","MELASTOMATACEAE","Miconia","spicellata","Micospic","Low",1
"439","ValleMagdalena","Huila","MELASTOMATACEAE","Miconia","spicellata","Micospic","Low",1
"440","ValleMagdalena","TolimaS","MUNTINGIACEAE","Muntigia","calabura","Muntcala","Low",4
"441","ValleMagdalena","Huila","MYRTACEAE","Myrcia","sp","Myrcsp","Low",57
"442","Caribe","Bolivar","MYRTACEAE","Myrcia","splendens","Myrcsple","Low",51
