"","Site","region","FIntMeanx","FIntcofv","MSPAdynM","MSPAdynCf","ESAcmeant","ESAccfvt","DisAmeanest","DisAmeanadjR2","DisAcoefvadjR2","DisVmeanest","DisVmeanadjR2","DisVcoefvest","DisVcoefvadjR2","Tmaxp90Feb","Tmaxp90Jul","TmaxRadj","Tmaxsigma","Precp10May","HumeRadj","Humesigma","evi90trend","evi90season","evi90peak","Seasigmaevi","Seasigcvevi","BNBmeanIndx","BNBmeantmpvarx","BNBcoefvIndx","BNBcoefvtmpvarx","CHeiMeanx","CHeiStdx","area","perimetro","DecLat","DecLong","DistMeanx"
"272",237,"Llanos",9.76015473887814,2.90410373533321,0,NA,23,0,-1190.16751299775,0.614488529194717,0.131044866609434,-504.619767889645,0.575936606021499,0.00170903249301822,0.589746796561718,34.2200012207031,30.3199996948242,0.763482602619688,0.606632392242424,244.006001281738,0.807118265441823,2.82036841365263,0.126705864270233,0.608507963551709,2.05810472871257,0.0580022055088862,0.19355169317492,3.43424201011658,0.429927974939346,0.424194213453907,0.0158884946403368,10.6,2.17121395548339,463910,6020,6.74397,-70.6856,0
"273",236,"Llanos",9.95540691192865,3.23715316792655,0,NA,23,0,-1293.16641630006,0.613217770291869,0.649368055648816,-291.601339918964,0.57711531506435,0.000583567817467646,0.508239350698666,34.2400016784668,30.2999992370605,0.762017414792668,0.614635027182312,245.341998291016,0.80755907083648,2.87787481708456,0.142279154329168,0.102255196089587,1.31087957268149,0.0605411592979603,0.597870160632799,1.4500659580032,0.438190072774887,0.958601743380909,0.158177250137502,9.89699074074074,2.61243842086489,800204,7316,6.77264,-70.6528,0.0129411764705882
"274",238,"Llanos",8.51851851851852,2.04463972478858,0,NA,23,NA,-1309.10208031262,0.613779402332448,-0.00739163665811926,-395.54237075943,0.574673270067674,0.000426283708594192,0.569716530536894,34.4099998474121,30.3500003814697,0.771541303500491,0.617389900164714,250.327996826172,0.809109464961583,2.75074203294941,0.107517700164224,0.530952198082368,2.79422917958498,0.0784007651243814,0.214194877770719,23.5098131895065,2.24358616024256,1.11044529366759,0.692839008704464,9.46632124352332,2.41310558902115,195151,2679,6.68256,-70.5471,0.0579710144927536
"275",219,"Llanos",10.7004523026316,3.95714709116687,-0.0111588366413837,-0.00318313080660415,23,0,-983.999347222957,0.600086464024539,0.794257368483402,-0.456933899381445,0.771772252271497,7.74551916669609e-05,0.719885750528691,33.7599983215332,30.2600002288818,0.717841689770842,0.591582919972417,232.218002319336,0.805146938715238,3.09818280863764,0.109255649481874,0.560568629304847,1.44271213791307,0.0794209491596529,0.229409370666196,2.76067633430163,0.453382452329,1.21527787046683,0.269827087329343,12.0273886681999,2.01694059639816,4329774,20885,7.00762,-70.9,0.091606399298707
"276",218,"Llanos",10.2734627831715,3.77867590400243,0,NA,23,0,-1333.67973669217,0.596515213309841,0.683776206068405,0.0235824175709494,-0.486904819064861,-3.31168624171017e-05,-0.493573050940391,33.9000015258789,30.2299995422363,0.729216234977283,0.618133593526699,237.408004760742,0.807582486115871,3.2375749425615,0.110234790342186,0.471430320622304,2.19473495469518,0.0695093641845965,0.266405641571953,1.39356195926666,0.573221623897552,NA,NA,9.95214521452145,1.92229727030104,550284,4780,6.99716,-70.8179,0.353846153846154
"277",216,"Llanos",8.12389380530973,2.05528888481843,0,NA,23,0,-1451.15906110355,0.605508887621604,0.531801835759887,-32.4409519538711,0.587552505651226,-0.000187377213493435,0.516597264913414,34.0570007324219,30.2199993133545,0.741213704516678,0.629218633158919,244.619998168945,0.807075018192338,3.21874804011637,0.0561605676748717,0.43573802943244,1.70240165275418,0.0717839525243603,0.302583164426466,3.23705232143402,0.431463728348414,0.466118096364727,0.24580492008461,9.95625,2.21096405872314,300131,3819,6.94236,-70.7389,0
"278",217,"Llanos",9.87727272727273,3.06002489111064,0.0233116579540136,0.00343678308153694,23,0,-1725.30882354212,0.601305818648056,0.926536883331317,-0.373043672293268,-0.13831867395434,0.000285923165588404,0.63833761795149,34.0499992370605,30.1800003051758,0.731809329523455,0.648271452489001,262.529998779297,0.808771473838429,3.31456179186708,0.0723642122852479,0.538157725791691,1.43998285997666,0.0757460754628983,0.371501210815934,0.0396305881440639,0.0527186840772629,NA,NA,11.1371640407785,2.48141509876132,982267,5503,7.051,-70.7153,0.50965250965251
"279",214,"Llanos",10.0118764845606,3.21495837189865,0,NA,23,0,-1667.41858315144,0.603191115612021,0.867769721428383,-0.373795038350969,0.610695619950511,0.000597659083432737,0.690405696897206,34.1800003051758,30.2199993133545,0.742752562421228,0.643792878424107,253.910003662109,0.806899767873718,3.1935499274999,0.107463287918472,0.549926516033616,1.44166725547443,0.0663370625505095,0.349045172474526,0.187793582677841,0.536093831062317,NA,NA,10.8521527213647,2.26516421904878,1125573,10850,6.9775,-70.6187,0.0150501672240803
"280",215,"Llanos",10.0956175298805,3.5750607611451,0,NA,23,0,-1720.90579086177,0.594238153237395,0.69071803781484,-0.165241409135394,-0.35140962016398,-4.89504779506937e-05,0.216180259441666,34.1599998474121,30.2199993133545,0.736118692027368,0.647755153411988,257.209991455078,0.807017017367479,3.24957762652424,0.0942713916058566,0.691926190155061,3.69112908656874,0.0798839313432859,0.181452759830503,1.6118228584528,0.430010676383972,0.362075398049175,0.0352333830991019,10.316696224981,2.22482706713472,3578830,29860,7.03052,-70.6346,0.000527148128624143
"281",213,"Llanos",10.7836622170633,5.28289948422261,-0.000470215267345253,-0.000217579290857528,23,0,-1718.29544372016,0.590904463099343,0.652562102591027,-0.318749522302927,0.239016388277413,2.98076188457686e-05,0.850681127754568,34.2400016784668,30.2399997711182,0.740131386480244,0.647810856196096,254.490005493164,0.802509846861239,3.10921082953214,0.069364008105065,0.500479667386004,1.72371127804721,0.0757508098896562,0.265034866933995,10.8418380260468,0.485340428352356,0.806380199129453,0.242101047491374,11.4276664702416,1.8017837468008,6147464,21025,7.01221,-70.5366,0.00415256844047985
