"","Estacion","State","Species","Trans","Number"
"1165","Recenso","Huila","Tranopelta gilva","Med",1
"1166","Recenso","Bolivar","Trichomyrmex destructor","Med",8
"1167","Censo","Cesar","Trichomyrmex destructor","Med",3
"1168","recenso","Guajira","Trichomyrmex destructor","Med",1
"1169","Censo","Tolima","Trichomyrmex destructor","Med",98
"1170","recenso","Cesar","Typhlomyrmex pusillus","Med",1
"1171","Censo","Bolivar","Wasmannia auropunctata","Med",16
"1172","Recenso","Bolivar","Wasmannia auropunctata","Med",142
"1173","Censo","Cesar","Wasmannia auropunctata","Med",12
"1174","recenso","Cesar","Wasmannia auropunctata","Med",17
"1175","Recenso","Cesar","Wasmannia auropunctata","Med",257
"1176","Censo","Guajira","Wasmannia auropunctata","Med",53
"1177","recenso","Guajira","Wasmannia auropunctata","Med",41
"1178","Censo","Huila","Wasmannia auropunctata","Med",73
"1179","Recenso","Huila","Wasmannia auropunctata","Med",70
"1180","Censo","Tolima","Wasmannia auropunctata","Med",89
"1181","Recenso","Tolima","Wasmannia auropunctata","Med",10
"1182","Censo","Huila","Wasmannia rochai","Med",1
