"","Estacion","State","AsocPlot","Species","Trans","Perm","Number"
"1875","Censo","Huila","T2P1","Odontomachus bauri","Low","Med",5
"1876","Recenso","Huila","T2P1","Odontomachus bauri","Low","Med",6
"1877","Censo","Bolivar","T2P2","Odontomachus bauri","Low","Med",8
"1878","Recenso","Bolivar","T2P2","Odontomachus bauri","Low","Med",12
"1879","Censo","Tolima","T2P2","Odontomachus bauri","Low","Med",19
"1880","Recenso","Tolima","T2P2","Odontomachus bauri","Low","Med",7
"1881","Censo","Guajira","T2P3","Odontomachus bauri","Low","Med",12
"1882","recenso","Guajira","T2P3","Odontomachus bauri","Low","Med",5
"1883","Censo","Bolivar","T2P2","Odontomachus chelifer","Low","Med",5
"1884","Recenso","Bolivar","T2P2","Odontomachus chelifer","Low","Med",2
"1885","Recenso","Bolivar","T2P2","Odontomachus meinerti","Low","Med",1
"1886","Censo","Huila","T2P1","Pachycondyla harpax","Low","Med",2
"1887","Censo","Bolivar","T2P2","Pachycondyla harpax","Low","Med",4
"1888","Recenso","Bolivar","T2P2","Pachycondyla harpax","Low","Med",15
"1889","Recenso","Tolima","T2P2","Pachycondyla harpax","Low","Med",2
"1890","Censo","Guajira","T2P3","Pachycondyla harpax","Low","Med",15
"1891","recenso","Guajira","T2P3","Pachycondyla harpax","Low","Med",8
"1892","Censo","Huila","T2P1","Pachycondyla impressa","Low","Med",7
"1893","Recenso","Huila","T2P1","Pachycondyla impressa","Low","Med",5
"1894","Censo","Bolivar","T2P2","Pachycondyla impressa","Low","Med",1
"1895","Recenso","Bolivar","T2P2","Pachycondyla impressa","Low","Med",5
"1896","Recenso","Bolivar","T2P2","Paratrechina longicornis","Low","Med",21
"1897","Censo","Huila","T2P1","Pheidole","Low","Med",10
"1898","Recenso","Huila","T2P1","Pheidole","Low","Med",27
"1899","Recenso","Bolivar","T2P2","Pheidole","Low","Med",20
"1900","Censo","Tolima","T2P2","Pheidole","Low","Med",15
"1901","Recenso","Tolima","T2P2","Pheidole","Low","Med",15
"1902","Censo","Bolivar","T2P2","Pheidole scalaris","Low","Med",3
"1903","Censo","Guajira","T2P3","Pheidole scalaris","Low","Med",11
"1904","recenso","Guajira","T2P3","Pheidole scalaris","Low","Med",4
"1905","Censo","Bolivar","T2P2","Probolomyrmex boliviensis","Low","Med",1
"1906","Censo","Huila","T2P1","Pseudomyrmex boopis","Low","Med",1
"1907","Recenso","Tolima","T2P2","Pseudomyrmex boopis","Low","Med",1
"1908","Censo","Bolivar","T2P2","Rasopone arhuaca","Low","Med",3
"1909","Censo","Bolivar","T2P2","Rasopone ferruginea","Low","Med",1
"1910","Censo","Guajira","T2P3","Rogeria belti","Low","Med",7
"1911","recenso","Guajira","T2P3","Rogeria belti","Low","Med",1
"1912","Censo","Tolima","T2P2","Rogeria curvipubens","Low","Med",9
"1913","Censo","Guajira","T2P3","Rogeria curvipubens","Low","Med",7
"1914","recenso","Guajira","T2P3","Rogeria curvipubens","Low","Med",2
"1915","Censo","Bolivar","T2P2","Rogeria foreli","Low","Med",2
"1916","Censo","Guajira","T2P3","Rogeria foreli","Low","Med",7
"1917","recenso","Guajira","T2P3","Rogeria foreli","Low","Med",1
"1918","Censo","Bolivar","T2P2","Sericomyrmex amabilis","Low","Med",3
"1919","Recenso","Tolima","T2P2","Sericomyrmex amabilis","Low","Med",1
"1920","Censo","Huila","T2P1","Solenopsis","Low","Med",1
"1921","Recenso","Huila","T2P1","Solenopsis","Low","Med",7
"1922","Recenso","Bolivar","T2P2","Solenopsis","Low","Med",15
"1923","Censo","Tolima","T2P2","Solenopsis","Low","Med",11
"1924","Recenso","Tolima","T2P2","Solenopsis","Low","Med",15
"1925","Censo","Bolivar","T2P2","Solenopsis altinodis","Low","Med",1
"1926","Censo","Bolivar","T2P2","Solenopsis azteca","Low","Med",2
"1927","Censo","Guajira","T2P3","Solenopsis azteca","Low","Med",1
"1928","recenso","Guajira","T2P3","Solenopsis azteca","Low","Med",1
"1929","Censo","Bolivar","T2P2","Solenopsis brevicornis","Low","Med",2
"1930","recenso","Guajira","T2P3","Solenopsis cf. picea","Low","Med",1
"1931","Censo","Bolivar","T2P2","Solenopsis pigmea","Low","Med",2
"1932","Censo","Guajira","T2P3","Solenopsis pigmea","Low","Med",6
"1933","Censo","Bolivar","T2P2","Solenopsis pollux","Low","Med",7
"1934","Censo","Guajira","T2P3","Solenopsis pollux","Low","Med",5
"1935","recenso","Guajira","T2P3","Solenopsis pollux","Low","Med",3
"1936","Censo","Bolivar","T2P2","Solenopsis subterrranea","Low","Med",1
"1937","Censo","Guajira","T2P3","Solenopsis subterrranea","Low","Med",6
"1938","recenso","Guajira","T2P3","Solenopsis subterrranea","Low","Med",1
"1939","Censo","Bolivar","T2P2","Solenopsis vinsoni","Low","Med",2
"1940","Censo","Guajira","T2P3","Solenopsis vinsoni","Low","Med",5
"1941","recenso","Guajira","T2P3","Solenopsis vinsoni","Low","Med",5
"1942","Censo","Bolivar","T2P2","Strumigenys deltisquama","Low","Med",1
"1943","Censo","Guajira","T2P3","Strumigenys deltisquama","Low","Med",6
"1944","recenso","Guajira","T2P3","Strumigenys deltisquama","Low","Med",3
"1945","Censo","Bolivar","T2P2","Strumigenys denticulata","Low","Med",1
"1946","Recenso","Huila","T2P1","Strumigenys elongata","Low","Med",2
"1947","Recenso","Bolivar","T2P2","Strumigenys elongata","Low","Med",1
"1948","Censo","Guajira","T2P3","Strumigenys elongata","Low","Med",6
"1949","recenso","Guajira","T2P3","Strumigenys elongata","Low","Med",1
"1950","Recenso","Huila","T2P1","Strumigenys gundlachi","Low","Med",1
"1951","Recenso","Bolivar","T2P2","Strumigenys gundlachi","Low","Med",1
"1952","Recenso","Tolima","T2P2","Strumigenys gundlachi","Low","Med",10
"1953","recenso","Guajira","T2P3","Strumigenys margaritae","Low","Med",1
"1954","Censo","Huila","T2P1","Strumigenys marginiventris","Low","Med",1
"1955","Recenso","Tolima","T2P2","Strumigenys marginiventris","Low","Med",2
"1956","Censo","Guajira","T2P3","Strumigenys marginiventris","Low","Med",2
"1957","recenso","Guajira","T2P3","Strumigenys marginiventris","Low","Med",1
"1958","Recenso","Bolivar","T2P2","Strumigenys perparva","Low","Med",1
"1959","Censo","Guajira","T2P3","Strumigenys spathula","Low","Med",1
"1960","Censo","Bolivar","T2P2","Strumigenys zeteki","Low","Med",2
"1961","Censo","Guajira","T2P3","Strumigenys zeteki","Low","Med",2
"1962","Censo","Bolivar","T2P2","Syscia tolteca","Low","Med",1
"1963","Censo","Huila","T2P1","Tapinoma melanocephalum","Low","Med",1
"1964","Censo","Tolima","T2P2","Tapinoma melanocephalum","Low","Med",1
"1965","Recenso","Huila","T2P1","Thaumatomyrmex zeteki","Low","Med",1
"1966","Censo","Bolivar","T2P2","Thaumatomyrmex zeteki","Low","Med",1
"1967","Recenso","Huila","T2P1","Trachymyrmex bugnioni","Low","Med",1
"1968","Censo","Bolivar","T2P2","Trachymyrmex bugnioni","Low","Med",1
"1969","Censo","Guajira","T2P3","Trachymyrmex cornetzi","Low","Med",1
"1970","Recenso","Huila","T2P1","Trachymyrmex irmgardae","Low","Med",1
"1971","Censo","Tolima","T2P2","Trachymyrmex irmgardae","Low","Med",2
"1972","Recenso","Tolima","T2P2","Trachymyrmex irmgardae","Low","Med",1
"1973","Censo","Bolivar","T2P2","Tranopelta gilva","Low","Med",4
"1974","Censo","Tolima","T2P2","Tranopelta gilva","Low","Med",23
"1975","Censo","Tolima","T2P2","Trichomyrmex destructor","Low","Med",4
"1976","recenso","Guajira","T2P3","Trichomyrmex destructor","Low","Med",1
"1977","Censo","Bolivar","T2P2","Wasmannia auropunctata","Low","Med",3
"1978","Recenso","Bolivar","T2P2","Wasmannia auropunctata","Low","Med",3
"1979","Recenso","Tolima","T2P2","Wasmannia auropunctata","Low","Med",24
"1980","Censo","Guajira","T2P3","Wasmannia auropunctata","Low","Med",19
"1981","recenso","Guajira","T2P3","Wasmannia auropunctata","Low","Med",13
"1982","Censo","Cesar","T2P2","Acromyrmex coronatus","Med","Med",1
"1983","Censo","Tolima","T3P2","Acromyrmex nobilis","Med","Med",1
"1984","Recenso","Tolima","T3P2","Acromyrmex nobilis","Med","Med",1
"1985","Censo","Guajira","T1P1","Acromyrmex octospinosus","Med","Med",1
"1986","Censo","Guajira","T1P1","Acropyga goeldii","Med","Med",1
"1987","Censo","Guajira","T1P1","Acropyga smithi","Med","Med",8
"1988","recenso","Guajira","T1P1","Acropyga smithi","Med","Med",1
"1989","Censo","Guajira","T1P1","Anochetus diegensis","Med","Med",7
"1990","recenso","Guajira","T1P1","Anochetus diegensis","Med","Med",2
"1991","recenso","Cesar","T1P3","Anochetus diegensis","Med","Med",2
"1992","Recenso","Cesar","T2P2","Anochetus inermis","Med","Med",14
"1993","recenso","Guajira","T1P1","Anochetus mayri","Med","Med",1
"1994","Censo","Bolivar","T1P3","Apterostigma dentigerum","Med","Med",1
"1995","Censo","Guajira","T1P1","Apterostigma pilosum","Med","Med",4
"1996","recenso","Guajira","T1P1","Apterostigma pilosum","Med","Med",1
"1997","Censo","Bolivar","T1P3","Apterostigma pilosum","Med","Med",1
"1998","recenso","Cesar","T1P3","Atta cephalotes","Med","Med",4
"1999","Recenso","Cesar","T1P3","Atta cephalotes","Med","Med",2
"2000","Censo","Bolivar","T1P3","Atta colombica","Med","Med",2
"2001","Censo","Tolima","T3P2","Atta colombica","Med","Med",12
"2002","Recenso","Bolivar","T1P3","Brachymyrmex heeri","Med","Med",1
"2003","Recenso","Cesar","T1P3","Brachymyrmex heeri","Med","Med",1
"2004","Censo","Huila","T1P3","Brachymyrmex heeri","Med","Med",25
"2005","Recenso","Huila","T1P3","Brachymyrmex heeri","Med","Med",1
"2006","Recenso","Cesar","T2P2","Brachymyrmex heeri","Med","Med",1
"2007","Censo","Huila","T1P3","Brachymyrmex incisus","Med","Med",15
"2008","Censo","Cesar","T2P2","Camponotus","Med","Med",1
"2009","recenso","Guajira","T1P1","Camponotus planatus","Med","Med",1
"2010","Recenso","Tolima","T3P2","Cardiocondyla nuda","Med","Med",3
"2011","Recenso","Cesar","T1P3","Carebara brevipilosa","Med","Med",1
"2012","Recenso","Cesar","T1P3","Carebara urichi","Med","Med",1
"2013","Censo","Cesar","T2P2","Centromyrmex brachycola","Med","Med",1
"2014","Censo","Cesar","T2P2","Cephalotes colombica","Med","Med",1
"2015","Recenso","Huila","T1P3","Cephalotes minutus","Med","Med",1
"2016","Recenso","Bolivar","T1P3","Crematogaster","Med","Med",15
"2017","Recenso","Cesar","T1P3","Crematogaster","Med","Med",2
"2018","Censo","Huila","T1P3","Crematogaster","Med","Med",1
"2019","Recenso","Huila","T1P3","Crematogaster","Med","Med",2
"2020","Recenso","Cesar","T2P2","Crematogaster","Med","Med",1
"2021","recenso","Cesar","T1P3","Crematogaster carinata","Med","Med",2
"2022","Censo","Cesar","T2P2","Crematogaster crinosa","Med","Med",1
"2023","Censo","Guajira","T1P1","Crematogaster curvispinosa","Med","Med",1
"2024","Censo","Guajira","T1P1","Crematogaster flavosensitiva","Med","Med",1
"2025","recenso","Guajira","T1P1","Crematogaster flavosensitiva","Med","Med",1
"2026","recenso","Cesar","T1P3","Crematogaster flavosensitiva","Med","Med",1
"2027","Censo","Bolivar","T1P3","Crematogaster limata","Med","Med",5
"2028","Censo","Bolivar","T1P3","Crematogaster nigropilosa","Med","Med",4
"2029","recenso","Cesar","T1P3","Crematogaster nigropilosa","Med","Med",1
"2030","recenso","Guajira","T1P1","Crematogaster rochai","Med","Med",1
"2031","recenso","Cesar","T1P3","Cyphomyrmex","Med","Med",1
"2032","Censo","Guajira","T1P1","Cyphomyrmex costatus","Med","Med",6
"2033","recenso","Guajira","T1P1","Cyphomyrmex costatus","Med","Med",4
"2034","Censo","Guajira","T1P1","Cyphomyrmex minutus","Med","Med",7
"2035","recenso","Guajira","T1P1","Cyphomyrmex minutus","Med","Med",1
"2036","Censo","Guajira","T1P1","Cyphomyrmex rimosus","Med","Med",1
"2037","Recenso","Bolivar","T1P3","Cyphomyrmex rimosus","Med","Med",5
"2038","Censo","Huila","T1P3","Cyphomyrmex rimosus","Med","Med",3
"2039","Recenso","Huila","T1P3","Cyphomyrmex rimosus","Med","Med",62
"2040","Recenso","Cesar","T2P2","Cyphomyrmex rimosus","Med","Med",5
"2041","Censo","Tolima","T3P2","Cyphomyrmex rimosus","Med","Med",5
"2042","Recenso","Cesar","T2P2","Discothyrea","Med","Med",1
"2043","Censo","Guajira","T1P1","Discothyrea horni","Med","Med",2
"2044","Censo","Bolivar","T1P3","Discothyrea neotropica","Med","Med",1
"2045","Censo","Guajira","T1P1","Dolichoderus bispinosus","Med","Med",1
"2046","Censo","Bolivar","T1P3","Dolichoderus bispinosus","Med","Med",2
"2047","Censo","Huila","T1P3","Dolichoderus bispinosus","Med","Med",1
"2048","Recenso","Huila","T1P3","Dolichoderus bispinosus","Med","Med",3
"2049","recenso","Guajira","T1P1","Ectatomma ruidum","Med","Med",1
"2050","Recenso","Bolivar","T1P3","Ectatomma ruidum","Med","Med",19
"2051","recenso","Cesar","T1P3","Ectatomma ruidum","Med","Med",5
"2052","Recenso","Cesar","T1P3","Ectatomma ruidum","Med","Med",40
"2053","Censo","Cesar","T2P2","Ectatomma ruidum","Med","Med",18
"2054","Recenso","Cesar","T2P2","Ectatomma ruidum","Med","Med",70
"2055","Censo","Tolima","T3P2","Ectatomma ruidum","Med","Med",44
"2056","Recenso","Tolima","T3P2","Ectatomma ruidum","Med","Med",79
"2057","Censo","Huila","T1P3","Ectatomma tuberculatum","Med","Med",3
"2058","recenso","Guajira","T1P1","Fulakora lurilabes","Med","Med",1
"2059","recenso","Cesar","T1P3","Gnamptogenys haenschi","Med","Med",1
"2060","Censo","Guajira","T1P1","Hylomyrma columbica","Med","Med",1
"2061","recenso","Guajira","T1P1","Hylomyrma columbica","Med","Med",1
"2062","Censo","Bolivar","T1P3","Hylomyrma reitteri","Med","Med",8
"2063","Recenso","Bolivar","T1P3","Hypoponera opacior","Med","Med",2
"2064","recenso","Guajira","T1P1","Labidus coecus","Med","Med",3
"2065","Censo","Bolivar","T1P3","Labidus coecus","Med","Med",2
"2066","Recenso","Cesar","T1P3","Labidus coecus","Med","Med",3
"2067","recenso","Cesar","T1P3","Linepithema neotropicum","Med","Med",2
"2068","Recenso","Cesar","T1P3","Linepithema neotropicum","Med","Med",1
"2069","Censo","Huila","T1P3","Linepithema neotropicum","Med","Med",30
"2070","Recenso","Huila","T1P3","Linepithema neotropicum","Med","Med",2
"2071","Recenso","Cesar","T1P3","Mayaponera constricta","Med","Med",1
"2072","Censo","Guajira","T1P1","Megalomyrmex silvestrii","Med","Med",1
"2073","recenso","Cesar","T1P3","Megalomyrmex silvestrii","Med","Med",1
"2074","Recenso","Tolima","T3P2","Monomorium floricola","Med","Med",3
"2075","recenso","Guajira","T1P1","Monomorium pharaoinis","Med","Med",1
"2076","Censo","Bolivar","T1P3","Mycocepurus curvispinosus","Med","Med",1
"2077","Censo","Tolima","T3P2","Myrmicocrypta urichi","Med","Med",4
"2078","Recenso","Tolima","T3P2","Myrmicocrypta urichi","Med","Med",3
"2079","Recenso","Cesar","T1P3","Neivamyrmex emersoni","Med","Med",2
"2080","Censo","Bolivar","T1P3","Neivamyrmex humilis","Med","Med",1
"2081","Censo","Bolivar","T1P3","Neoponera apicalis","Med","Med",5
"2082","Censo","Guajira","T1P1","Neoponera verenae","Med","Med",1
"2083","recenso","Guajira","T1P1","Neoponera verenae","Med","Med",1
"2084","Recenso","Cesar","T1P3","Neoponera verenae","Med","Med",1
"2085","Censo","Guajira","T1P1","Nomamyrmex esenbeekii","Med","Med",1
"2086","recenso","Cesar","T1P3","Nomamyrmex esenbeekii","Med","Med",1
"2087","recenso","Cesar","T1P3","Nylanderia fulva","Med","Med",2
"2088","Recenso","Bolivar","T1P3","Nylanderia nodifera","Med","Med",20
"2089","Recenso","Cesar","T1P3","Nylanderia nodifera","Med","Med",4
"2090","Censo","Huila","T1P3","Nylanderia nodifera","Med","Med",40
"2091","Recenso","Huila","T1P3","Nylanderia nodifera","Med","Med",92
"2092","Recenso","Cesar","T2P2","Nylanderia nodifera","Med","Med",6
"2093","Censo","Guajira","T1P1","Nylanderia steinheili","Med","Med",1
"2094","recenso","Guajira","T1P1","Nylanderia steinheili","Med","Med",1
"2095","recenso","Cesar","T1P3","Nylanderia steinheili","Med","Med",3
"2096","Censo","Bolivar","T1P3","Octostruma","Med","Med",1
"2097","Censo","Guajira","T1P1","Octostruma amrishi","Med","Med",5
"2098","recenso","Guajira","T1P1","Octostruma amrishi","Med","Med",1
"2099","Censo","Bolivar","T1P3","Octostruma amrishi","Med","Med",2
"2100","Censo","Guajira","T1P1","Octostruma balzani","Med","Med",3
"2101","recenso","Guajira","T1P1","Octostruma balzani","Med","Med",1
"2102","Censo","Bolivar","T1P3","Octostruma balzani","Med","Med",2
"2103","Censo","Guajira","T1P1","Octostruma iheringi","Med","Med",2
"2104","recenso","Guajira","T1P1","Octostruma iheringi","Med","Med",1
"2105","Censo","Guajira","T1P1","Octostruma impresa","Med","Med",2
"2106","Censo","Guajira","T1P1","Odontomachus bauri","Med","Med",6
"2107","Censo","Bolivar","T1P3","Odontomachus bauri","Med","Med",6
"2108","Recenso","Bolivar","T1P3","Odontomachus bauri","Med","Med",16
"2109","recenso","Cesar","T1P3","Odontomachus bauri","Med","Med",4
"2110","Recenso","Cesar","T1P3","Odontomachus bauri","Med","Med",2
"2111","Censo","Huila","T1P3","Odontomachus bauri","Med","Med",10
"2112","Recenso","Huila","T1P3","Odontomachus bauri","Med","Med",4
"2113","Recenso","Cesar","T2P2","Odontomachus bauri","Med","Med",4
"2114","Censo","Tolima","T3P2","Odontomachus bauri","Med","Med",1
"2115","recenso","Cesar","T1P3","Odontomachus chelifer","Med","Med",1
"2116","Censo","Bolivar","T1P3","Odontomachus ruginodis","Med","Med",1
"2117","Censo","Guajira","T1P1","Pachycondyla harpax","Med","Med",8
"2118","recenso","Guajira","T1P1","Pachycondyla harpax","Med","Med",7
"2119","Censo","Bolivar","T1P3","Pachycondyla harpax","Med","Med",6
"2120","Recenso","Bolivar","T1P3","Pachycondyla harpax","Med","Med",4
"2121","recenso","Cesar","T1P3","Pachycondyla harpax","Med","Med",1
"2122","Censo","Huila","T1P3","Pachycondyla harpax","Med","Med",1
"2123","Recenso","Huila","T1P3","Pachycondyla harpax","Med","Med",4
"2124","Censo","Tolima","T3P2","Pachycondyla harpax","Med","Med",2
"2125","Censo","Bolivar","T1P3","Pachycondyla impressa","Med","Med",2
"2126","Censo","Huila","T1P3","Pachycondyla impressa","Med","Med",1
"2127","Censo","Tolima","T3P2","Paratrechina longicornis","Med","Med",2
"2128","Recenso","Bolivar","T1P3","Pheidole","Med","Med",14
"2129","Recenso","Cesar","T1P3","Pheidole","Med","Med",26
"2130","Censo","Huila","T1P3","Pheidole","Med","Med",24
"2131","Recenso","Huila","T1P3","Pheidole","Med","Med",38
"2132","Recenso","Cesar","T2P2","Pheidole","Med","Med",24
"2133","Censo","Tolima","T3P2","Pheidole","Med","Med",18
"2134","Recenso","Tolima","T3P2","Pheidole","Med","Med",13
"2135","Censo","Guajira","T1P1","Pheidole scalaris","Med","Med",4
"2136","recenso","Guajira","T1P1","Pheidole scalaris","Med","Med",1
"2137","recenso","Cesar","T1P3","Pheidole scalaris","Med","Med",11
"2138","Censo","Cesar","T2P2","Pheidole scalaris","Med","Med",4
"2139","Recenso","Bolivar","T1P3","Pogonomyrmex mayri","Med","Med",5
"2140","Censo","Huila","T1P3","Pseudomyrmex boopis","Med","Med",1
"2141","Censo","Bolivar","T1P3","Rasopone arhuaca","Med","Med",1
"2142","Recenso","Cesar","T1P3","Rasopone arhuaca","Med","Med",1
"2143","Censo","Guajira","T1P1","Rogeria belti","Med","Med",5
"2144","recenso","Guajira","T1P1","Rogeria belti","Med","Med",1
"2145","Censo","Guajira","T1P1","Rogeria curvipubens","Med","Med",2
"2146","recenso","Guajira","T1P1","Rogeria curvipubens","Med","Med",3
"2147","Recenso","Tolima","T3P2","Rogeria curvipubens","Med","Med",1
"2148","Censo","Guajira","T1P1","Rogeria foreli","Med","Med",3
"2149","recenso","Guajira","T1P1","Rogeria foreli","Med","Med",5
"2150","Censo","Bolivar","T1P3","Rogeria foreli","Med","Med",2
"2151","Recenso","Bolivar","T1P3","Rogeria foreli","Med","Med",1
"2152","Recenso","Cesar","T2P2","Rogeria foreli","Med","Med",3
"2153","Censo","Guajira","T1P1","Sericomyrmex amabilis","Med","Med",1
"2154","Recenso","Bolivar","T1P3","Sericomyrmex amabilis","Med","Med",3
"2155","recenso","Cesar","T1P3","Sericomyrmex amabilis","Med","Med",1
"2156","Recenso","Huila","T1P3","Sericomyrmex amabilis","Med","Med",1
"2157","Recenso","Bolivar","T1P3","Solenopsis","Med","Med",9
"2158","Recenso","Cesar","T1P3","Solenopsis","Med","Med",18
"2159","Censo","Huila","T1P3","Solenopsis","Med","Med",2
"2160","Recenso","Huila","T1P3","Solenopsis","Med","Med",14
"2161","Recenso","Cesar","T2P2","Solenopsis","Med","Med",18
"2162","Censo","Tolima","T3P2","Solenopsis","Med","Med",17
"2163","Recenso","Tolima","T3P2","Solenopsis","Med","Med",16
"2164","Censo","Bolivar","T1P3","Solenopsis altinodis","Med","Med",3
"2165","Censo","Guajira","T1P1","Solenopsis azteca","Med","Med",4
"2166","recenso","Guajira","T1P1","Solenopsis azteca","Med","Med",2
"2167","recenso","Cesar","T1P3","Solenopsis azteca","Med","Med",1
"2168","Censo","Guajira","T1P1","Solenopsis bicolor","Med","Med",2
"2169","recenso","Guajira","T1P1","Solenopsis bicolor","Med","Med",1
"2170","recenso","Cesar","T1P3","Solenopsis cf. picea","Med","Med",4
"2171","Censo","Cesar","T2P2","Solenopsis cf. picea","Med","Med",1
"2172","Censo","Bolivar","T1P3","Solenopsis geminata","Med","Med",2
"2173","recenso","Cesar","T1P3","Solenopsis geminata","Med","Med",10
"2174","Censo","Cesar","T2P2","Solenopsis geminata","Med","Med",4
"2175","Censo","Bolivar","T1P3","Solenopsis pigmea","Med","Med",3
"2176","Censo","Guajira","T1P1","Solenopsis pollux","Med","Med",6
"2177","recenso","Guajira","T1P1","Solenopsis pollux","Med","Med",6
"2178","Censo","Bolivar","T1P3","Solenopsis pollux","Med","Med",3
"2179","recenso","Cesar","T1P3","Solenopsis pollux","Med","Med",6
"2180","Censo","Cesar","T2P2","Solenopsis pollux","Med","Med",1
"2181","Censo","Guajira","T1P1","Solenopsis subterrranea","Med","Med",3
"2182","recenso","Guajira","T1P1","Solenopsis subterrranea","Med","Med",1
"2183","Censo","Bolivar","T1P3","Solenopsis subterrranea","Med","Med",2
"2184","Censo","Cesar","T2P2","Solenopsis subterrranea","Med","Med",2
"2185","Censo","Guajira","T1P1","Solenopsis vinsoni","Med","Med",1
"2186","Censo","Bolivar","T1P3","Solenopsis vinsoni","Med","Med",1
"2187","recenso","Cesar","T1P3","Solenopsis vinsoni","Med","Med",2
"2188","Censo","Bolivar","T1P3","Strumigenys deltisquama","Med","Med",1
"2189","Recenso","Bolivar","T1P3","Strumigenys deltisquama","Med","Med",1
"2190","Recenso","Cesar","T1P3","Strumigenys deltisquama","Med","Med",2
"2191","Recenso","Cesar","T2P2","Strumigenys deltisquama","Med","Med",1
"2192","Censo","Guajira","T1P1","Strumigenys denticulata","Med","Med",1
"2193","Censo","Bolivar","T1P3","Strumigenys denticulata","Med","Med",1
"2194","Censo","Guajira","T1P1","Strumigenys elongata","Med","Med",1
"2195","recenso","Guajira","T1P1","Strumigenys elongata","Med","Med",1
"2196","Censo","Bolivar","T1P3","Strumigenys elongata","Med","Med",2
"2197","Recenso","Bolivar","T1P3","Strumigenys elongata","Med","Med",2
"2198","Recenso","Cesar","T2P2","Strumigenys elongata","Med","Med",1
"2199","Recenso","Bolivar","T1P3","Strumigenys grytava","Med","Med",2
"2200","Recenso","Cesar","T1P3","Strumigenys grytava","Med","Med",7
"2201","Recenso","Bolivar","T1P3","Strumigenys gundlachi","Med","Med",5
"2202","Recenso","Huila","T1P3","Strumigenys gundlachi","Med","Med",2
"2203","recenso","Guajira","T1P1","Strumigenys lanuginosa","Med","Med",1
"2204","Censo","Guajira","T1P1","Strumigenys marginiventris","Med","Med",1
"2205","recenso","Guajira","T1P1","Strumigenys marginiventris","Med","Med",1
"2206","Recenso","Bolivar","T1P3","Strumigenys marginiventris","Med","Med",4
"2207","Censo","Guajira","T1P1","Strumigenys zeteki","Med","Med",1
"2208","recenso","Guajira","T1P1","Strumigenys zeteki","Med","Med",1
"2209","recenso","Guajira","T1P1","Tapinoma melanocephalum","Med","Med",1
"2210","Censo","Tolima","T3P2","Tapinoma melanocephalum","Med","Med",2
"2211","Recenso","Tolima","T3P2","Tapinoma melanocephalum","Med","Med",1
"2212","Recenso","Huila","T1P3","Thaumatomyrmex zeteki","Med","Med",1
"2213","Censo","Guajira","T1P1","Trachymyrmex bugnioni","Med","Med",2
"2214","recenso","Guajira","T1P1","Trachymyrmex bugnioni","Med","Med",1
"2215","Censo","Cesar","T2P2","Trachymyrmex bugnioni","Med","Med",1
"2216","Recenso","Cesar","T2P2","Trachymyrmex bugnioni","Med","Med",21
"2217","Censo","Guajira","T1P1","Trachymyrmex cornetzi","Med","Med",3
"2218","recenso","Guajira","T1P1","Trachymyrmex cornetzi","Med","Med",1
"2219","Recenso","Bolivar","T1P3","Trachymyrmex cornetzi","Med","Med",1
"2220","recenso","Cesar","T1P3","Trachymyrmex cornetzi","Med","Med",1
"2221","Recenso","Cesar","T1P3","Trachymyrmex cornetzi","Med","Med",1
"2222","Recenso","Cesar","T2P2","Trachymyrmex cornetzi","Med","Med",6
"2223","Recenso","Huila","T1P3","Trachymyrmex irmgardae","Med","Med",1
"2224","Censo","Tolima","T3P2","Trachymyrmex irmgardae","Med","Med",1
"2225","Censo","Guajira","T1P1","Tranopelta gilva","Med","Med",2
"2226","Censo","Bolivar","T1P3","Tranopelta gilva","Med","Med",2
"2227","recenso","Cesar","T1P3","Tranopelta gilva","Med","Med",1
"2228","Recenso","Cesar","T2P2","Tranopelta gilva","Med","Med",1
"2229","Recenso","Bolivar","T1P3","Trichomyrmex destructor","Med","Med",1
"2230","Censo","Cesar","T2P2","Trichomyrmex destructor","Med","Med",2
"2231","Censo","Tolima","T3P2","Trichomyrmex destructor","Med","Med",45
"2232","Censo","Guajira","T1P1","Wasmannia auropunctata","Med","Med",20
"2233","recenso","Guajira","T1P1","Wasmannia auropunctata","Med","Med",18
"2234","Censo","Bolivar","T1P3","Wasmannia auropunctata","Med","Med",6
"2235","recenso","Cesar","T1P3","Wasmannia auropunctata","Med","Med",8
"2236","Recenso","Cesar","T1P3","Wasmannia auropunctata","Med","Med",41
"2237","Censo","Huila","T1P3","Wasmannia auropunctata","Med","Med",72
"2238","Recenso","Huila","T1P3","Wasmannia auropunctata","Med","Med",70
"2239","Recenso","Cesar","T2P2","Wasmannia auropunctata","Med","Med",35
"2240","Recenso","Tolima","T3P2","Wasmannia auropunctata","Med","Med",1
