"","Estacionf2","Species","Class","Order","Family","transfC","permC","IndNumber"
"37","CTMIN10","Bos","Mammalia","ARTIODACTYLA","Bovidae","Low","High",2
"38","CTMIN11","Eira  barbara","Mammalia","CARNIVORA","Mustelidae","Low","Med",1
"39","CTMIN11","Dasyprocta  punctata","Mammalia","RODENTIA","Dasyproctidae","Low","Med",2
"40","CTMIN12","Eira  barbara","Mammalia","CARNIVORA","Mustelidae","Low","High",3
"41","CTMIN12","Leopardus pardalis","Mammalia","CARNIVORA","Felidae","Low","High",1
"42","CTMIN12","Dasyprocta  punctata","Mammalia","RODENTIA","Dasyproctidae","Low","High",2
"43","CTMIN13","Aves sp.","Aves",NA,NA,"Low","Med",1
"44","CTMIN13","Dasyprocta  punctata","Mammalia","RODENTIA","Dasyproctidae","Low","Med",1
"45","CTMIN13","Cuniculus  paca","Mammalia","RODENTIA","Cuniculidae","Low","Med",1
"46","CTMIN14","Pecari  tajacu","Mammalia","ARTIODACTYLA","Tayassuidae","Low","Low",2
"47","CTMIN14","Leopardus pardalis","Mammalia","CARNIVORA","Felidae","Low","Low",1
"48","CTMIN14","Aves sp.","Aves",NA,NA,"Low","Low",1
"49","CTMIN14","Didelphis  marsupialis","Mammalia","DIDELPHIMORPHIA","Didelphidae","Low","Low",1
"50","CTMIN14","Dasyprocta  punctata","Mammalia","RODENTIA","Dasyproctidae","Low","Low",1
"51","CTMIN14","Tamandua  mexicana","Mammalia","PILOSA","Myrmecophagidae","Low","Low",1
"52","CTMIN17","Rodentia sp.","Mammalia","RODENTIA",NA,"High","Low",1
"53","CTMIN17","Leptotila verreauxi","Aves","COLUMBIFORMES","Columbidae (Pigeons and Doves)","High","Low",1
"54","CTMIN17","Tamandua  mexicana","Mammalia","PILOSA","Myrmecophagidae","High","Low",1
"55","CTMIN17","Bos","Mammalia","ARTIODACTYLA","Bovidae","High","Low",1
"56","CTMIN17","Dasyprocta  punctata","Mammalia","RODENTIA","Dasyproctidae","High","Low",1
"57","CTMIN17","Cuniculus  paca","Mammalia","RODENTIA","Cuniculidae","High","Low",1
"58","CTMIN17","Didelphis  marsupialis","Mammalia","DIDELPHIMORPHIA","Didelphidae","High","Low",1
"59","CTMIN17","Aves sp.",NA,NA,NA,"High","Low",1
"60","CTMIN17","Crypturellus soui","Aves","TINAMIFORMES","Tinamidae (Tinamous)","High","Low",1
"61","CTMIN17","Cerdocyon thous","Mammalia","CARNIVORA","Canidae","High","Low",1
"62","CTMIN18","Crypturellus soui","Aves","TINAMIFORMES","Tinamidae (Tinamous)","High","High",3
"63","CTMIN18","Rodentia sp.","Mammalia","RODENTIA",NA,"High","High",1
"64","CTMIN18","Leptotila verreauxi","Aves","COLUMBIFORMES","Columbidae (Pigeons and Doves)","High","High",1
"65","CTMIN18","Aves sp.","Aves",NA,NA,"High","High",1
