porcentaje de bosque;area cuenca ha;pendiente;temperatura promedio mensual;precipitacion promedio anual;indice;pendienteRegulacion;altitud;wyield;ws;dep;serie;region
0;73688.4;8.679194884;32.06596141;3520.321774;109.7837588;-0.650582215;224.8914185;2402.159497;6;bol;mosaico humedo;1
0;8005.01;5.314496046;32.00308966;3046.603677;95.19717344;-0.509074294;94.08245087;1920.699432;7;bol;mosaico humedo;1
0;12734.4;7.076769424;31.59596729;3188.71456;100.921568;-0.598477632;125.0820694;2129.876182;8;bol;mosaico humedo;1
0;4838.35;6.13157768;31.67305326;3181.510251;100.4484861;-0.580542325;71.50912476;2100.746441;9;bol;mosaico humedo;1
0;37347.7;10.65864352;31.38943203;3826.045329;121.8896005;-0.6999622;229.5780945;2711.466674;10;bol;mosaico humedo;1
0;1069.67;7.955968007;31.63616618;3124.849989;98.77461041;-0.549336399;73.48313904;2189.459364;11;bol;mosaico humedo;1
0;1563.87;7.940550061;31.65522413;3116.228618;98.44279117;-0.557778049;83.59362793;2097.43959;13;bol;mosaico humedo;1
0;18131.3;9.187429018;32.65184251;3628.361699;111.1227245;-0.70157085;111.9420929;2419.610927;14;bol;mosaico humedo;1
0;10463.7;8.439163458;33.17796476;3483.29249;104.9881304;-0.681102581;115.1747894;2330.481639;15;bol;mosaico humedo;1
0;9247.02;8.926790518;33.04596932;3514.022854;106.337412;-0.690441506;149.3002777;2401.050077;16;bol;mosaico humedo;1
0;12168.7;6.296587523;32.69073968;3122.020937;95.50169154;-0.632294138;74.7952652;1999.968078;17;bol;mosaico humedo;1
0;1154.99;5.029927697;31.55925297;2825.848047;89.54103094;-0.545124948;31.69630241;1601.278646;18;bol;mosaico humedo;1
0;1845.26;6.065169801;31.63237935;2883.066283;91.14288404;-0.621099954;68.87474823;1810.637216;19;bol;mosaico humedo;1
0;3689.19;3.999968925;31.32849953;2918.231776;93.14942686;-0.488241707;38.92639542;1521.088885;20;bol;mosaico humedo;1
0;638.945;4.800878758;31.55974215;2983.532147;94.53601152;-0.069022157;28.75091743;1708.042417;22;bol;mosaico humedo;1
0;19605.6;9.125402666;30.60718538;1837.55357;60.03667267;-0.93232688;102.4736023;1028.546637;2;bol;mosaico medio;1
0;40848.5;9.12235097;29.9592978;1841.526868;61.46762452;-0.918586181;117.0733643;992.5894077;3;bol;mosaico medio;1
0;15279.3;9.96574655;31.80271021;1679.969231;52.82471902;-0.8863172;125.4099197;832.7629811;4;bol;mosaico medio;1
0;73688.4;8.679194884;31.7379388;1267.816553;39.94640486;-0.650582215;224.8914185;577.99589;6;bol;mosaico medio;1
