"","Guajira","Bolivar","Valle","Huila","TolimaS","Cesar","Tolima","Antioquia","Patia"
"Indet77",0,0,0,0,0,1,0,0,0
"Eugesp2",0,0,0,0,0,4,75,0,0
"Indet105",0,0,0,0,0,1,0,0,0
"Xylosp2",0,0,0,0,0,6,0,0,0
"Indet112",0,0,0,0,0,2,0,0,0
"Indet114",0,0,0,0,0,2,0,0,0
"Indet115",0,0,0,0,0,1,0,0,0
"Indet116",0,0,0,0,0,1,0,0,0
"Indet118",0,0,0,0,0,1,0,0,0
"Indet4",0,0,0,0,0,2,0,0,0
"Homarace",0,0,0,0,0,3,0,0,0
"Fabasp",0,0,0,0,0,15,0,0,0
"Bignsp3",0,0,0,0,0,1,0,0,0
"Machsp6",3,0,0,0,0,2,0,0,0
"Indet49",0,0,0,0,0,1,0,0,0
"Serjsp",3,0,0,3,0,3,0,0,0
"Cordsp4",0,0,0,0,0,13,0,0,0
"Machsp8",0,0,0,0,0,6,0,0,0
"Indet75",0,0,0,0,0,1,0,0,0
"Bignsp4",0,0,0,0,0,1,0,0,0
"Tripcumi",0,0,0,0,0,1,0,0,0
"Mandsp",0,0,0,0,0,2,0,0,0
"Machsp5",0,0,0,0,0,15,0,0,0
"Cnidsp",0,0,0,0,0,1,0,0,0
"Indet12",0,0,0,0,0,1,0,0,0
"Indet16",0,0,0,0,0,1,0,0,0
"Machsp7",0,0,0,0,0,16,0,0,0
"Bignsp5",0,0,0,0,0,4,0,0,0
"Centpara",0,0,0,0,0,8,28,0,0
"Entesp1",0,0,0,0,0,1,0,0,0
"Randsp1",0,0,0,0,0,1,0,0,0
"Albisp",0,0,0,0,0,1,0,0,0
"Rubisp",0,0,0,0,0,1,0,0,0
"Prissp",0,0,0,0,0,11,0,0,0
"Combdeca",0,0,0,0,0,2,0,0,0
"Indet2",0,0,0,0,0,1,0,0,0
"Guapsp1",0,0,0,0,0,2,0,0,0
"Alsemuti",0,0,0,0,0,8,0,0,0
"Ficubeng",0,0,0,0,0,1,0,0,0
"Byrscras",0,0,0,0,29,0,0,1,0
"Psycsp",0,0,0,5,10,0,5,0,0
"Xyloeleg",0,0,0,0,6,0,0,0,0
"Eugevene",0,0,0,142,77,0,0,0,0
"Entescho",0,0,0,0,11,0,0,0,0
"Broncorn",0,0,0,0,27,0,0,0,0
"Psidguin",0,0,0,2,4,0,0,4,0
"Cappsp1",0,0,0,0,3,0,0,0,0
"Eugebifl",0,0,0,18,2,0,0,0,0
"Ficusp1",0,0,0,0,6,1,0,0,0
"Banisp2",0,0,0,0,3,0,0,0,0
"Cordsp6",0,0,0,0,1,0,0,0,0
"Cordsp5",0,0,0,0,4,0,0,0,0
"Annosp3",0,0,0,0,1,0,0,0,0
"Guetrusb",0,0,0,0,18,0,1,0,0
"Zantsp2",0,0,0,0,2,0,0,0,0
"Crotfrag",0,0,0,0,5,0,0,0,0
"Jacacauc",0,0,0,0,12,0,0,0,0
"Hetelaur",0,0,0,0,2,0,0,0,0
"Crotgoss",0,0,0,0,1,3,0,0,0
"Indet167",0,0,0,0,1,0,0,0,0
"Machsp12",0,0,0,0,4,0,0,0,0
"Pouthisp",0,0,0,0,13,0,0,0,0
"Loncseri",0,0,0,0,15,0,0,0,0
"Neeasp",0,0,0,0,13,0,0,0,0
"Indet20",0,0,0,0,1,0,0,0,0
"Nectsp3",0,0,0,0,11,0,0,0,0
"Cestalte",0,0,0,0,1,0,0,0,0
"Crothibi",0,0,0,1,2,0,0,0,0
"Viteflav",0,0,0,0,6,0,0,0,0
"Indet34",0,0,0,0,1,0,0,0,0
"Machbiov",0,0,0,1,6,1,0,0,0
"Indet45",0,0,0,0,1,0,0,0,0
"Brossp2",0,0,0,0,1,0,0,0,0
"Handsp",2,0,0,0,1,0,0,0,0
"Randsp4",0,0,0,0,14,0,0,0,0
"Machgoud",0,0,0,0,6,0,0,0,0
"Loncsp",0,0,0,0,5,2,2,0,0
"Salasp2",0,0,0,0,25,0,0,0,0
"Melibiju",0,0,0,0,2,0,0,0,0
"Eugesp4",0,0,0,0,1,0,0,0,0
"Schnglab",0,0,0,0,5,0,0,0,0
"Chomsp",0,0,0,0,32,0,0,0,0
"Ampesp",0,0,0,0,12,0,0,0,0
"Crotschi",0,0,0,0,14,0,0,0,0
"Randsp2",0,0,0,0,5,0,0,0,0
"Amphpani",0,0,0,0,7,0,0,0,0
"Machglab",0,0,0,0,1,0,0,0,0
"Iserhaen",9,0,0,0,0,0,0,0,0
"Entesp2",5,0,0,0,0,0,0,0,0
"Solasp1",2,0,0,0,0,0,0,0,0
"Paripach",5,0,0,0,0,0,0,0,0
"Gouapoly",12,0,0,0,0,0,0,0,0
"Pipesp3",3,0,0,0,0,0,0,0,0
"Theocaca",4,0,0,0,0,0,0,0,0
"Myrisp",1,0,0,0,0,0,0,0,0
"Prioaspe",6,0,0,0,0,0,0,0,0
"Machsp9",2,0,0,0,0,0,0,0,0
"Poutsp2",2,0,0,0,0,0,0,0,0
"Cissvert",3,0,0,0,0,0,0,1,0
"Xylotess",3,0,0,0,0,0,0,0,0
"Mangindi",4,0,0,0,0,0,0,0,0
"Hirttria",7,0,0,0,0,3,0,0,0
"Indet36",1,0,0,0,0,0,0,0,0
